사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2022-06,2호선,0224,서초,24,0,"1,501","4,639","8,243","20,018","16,180","47,698","25,514","111,132","26,420","88,981","20,831","39,203","27,067","31,047","24,685","22,844","32,360","25,809","32,948","22,748","38,747","19,726","45,703","21,180","66,535","23,712","93,408","25,606","40,757","16,963","28,012","10,335","29,533","9,793","19,306","9,926","7,085","5,793",864,"1,171",0,4,0,1,0,0,2022-07-03 09:48:05
2022-06,2호선,0225,방배,1,0,"2,766","2,803","9,271","10,717","22,706","27,162","31,589","71,405","24,668","48,736","18,983","27,074","20,404","23,519","22,231","23,761","24,252","24,213","25,664","23,915","28,372","23,642","33,910","25,057","42,360","30,580","65,294","37,445","28,440","26,502","21,704","16,708","21,713","15,915","17,755","16,771","7,092","10,027","1,178","2,252",0,18,0,0,0,0,2022-07-03 09:48:05
2022-06,2호선,0226,사당,123,7,"12,419","4,438","26,750","32,554","73,196","46,005","101,683","65,641","74,143","51,432","47,657","43,114","43,633","53,613","49,360","53,979","52,046","50,706","56,324","50,027","57,878","60,605","61,768","80,645","73,294","116,608","90,127","165,434","63,200","110,335","61,045","65,908","68,088","62,948","65,424","62,175","33,926","44,450","4,581","10,190",4,117,0,0,0,0,2022-07-03 09:48:05
2022-06,2호선,0227,낙성대(강감찬),36,5,"11,340","2,293","26,650","10,662","79,200","19,930","122,564","37,552","77,415","31,529","43,107","26,268","36,846","23,691","39,110","26,504","39,455","27,892","35,771","30,495","34,885","35,300","41,135","42,149","44,318","56,340","48,301","95,961","28,006","82,315","22,058","51,696","20,772","51,494","16,515","53,039","7,587","33,360","1,038","6,792",2,225,0,0,0,0,2022-07-03 09:48:05
2022-06,2호선,0228,서울대입구(관악구청),"3,670",17,"27,726","2,649","43,206","14,882","122,060","30,608","172,422","63,854","114,287","61,113","66,392","51,029","59,090","45,903","64,285","49,881","68,880","54,883","60,253","55,639","63,862","63,780","70,878","74,229","78,442","99,908","84,579","167,538","52,856","135,373","45,556","81,008","46,504","78,324","41,865","79,575","19,172","49,242","2,546","17,400",1,"2,766",0,0,0,0,2022-07-03 09:48:05
2022-06,2호선,0229,봉천,65,2,"15,638","1,413","27,905","7,115","77,694","12,404","118,721","27,170","70,561","20,150","39,420","18,253","32,838","20,850","35,049","23,024","33,534","25,293","28,711","26,671","28,583","34,780","31,846","39,810","30,691","51,399","31,573","82,033","19,233","68,394","15,591","42,320","13,823","41,099","10,669","40,127","3,951","24,893",579,"6,340",3,192,0,0,0,0,2022-07-03 09:48:05
2022-06,2호선,0230,신림,253,10,"38,809","4,518","73,523","20,593","188,110","30,954","281,017","49,302","169,626","46,475","91,989","43,405","77,496","48,286","80,630","52,755","76,651","59,538","69,876","65,741","69,972","80,150","77,473","98,718","80,560","130,701","82,996","224,968","55,797","199,987","47,926","122,279","44,546","120,509","40,123","113,573","20,492","75,909","3,087","17,134",6,188,0,0,0,0,2022-07-03 09:48:05
2022-06,2호선,0231,신대방,167,5,"25,376","2,192","35,558","9,541","87,546","17,896","129,422","28,044","77,718","19,981","44,123","18,042","35,648","18,980","35,421","21,176","33,469","24,506","28,770","27,694","28,328","36,552","30,297","44,363","33,417","59,387","34,469","91,043","21,508","79,376","16,755","52,504","13,106","55,542","10,314","55,048","4,668","33,011",710,"6,578",0,84,0,0,0,0,2022-07-03 09:48:05
2022-06,2호선,0232,구로디지털단지,278,12,"38,470","5,958","51,489","21,619","130,025","84,090","176,420","245,720","109,393","142,077","64,244","55,396","57,332","43,058","61,975","45,124","61,548","54,834","56,172","54,973","61,201","62,154","74,789","74,391","127,207","100,043","215,829","156,184","105,231","123,917","64,495","77,321","53,987","79,409","42,782","79,905","17,804","50,259","2,771","10,268",1,113,0,0,0,0,2022-07-03 09:48:05
2022-06,2호선,0233,대림(구로구청),576,21,"32,974","3,625","32,010","11,540","64,990","23,164","92,099","54,285","60,924","33,258","36,392","29,501","30,846","30,638","32,718","29,404","31,292","31,262","29,719","31,003","30,394","38,326","34,458","46,018","42,518","58,405","50,857","68,369","26,638","52,984","20,292","36,205","15,423","46,066","11,506","45,800","5,377","22,197",705,"4,613",0,152,0,0,0,0,2022-07-03 09:48:05
